#File format: word,sPoint,nPoint,yPoint,mPoint,hPoint,lPoint

#Lonely Winning words
unique,1,1,1,3,0,0
musician,1,1,1,3,0,0
defiant,1,1,1,3,0,0
omniscient,1,1,1,3,0,0
sorry,1,1,1,3,0,0
thoughtful,1,1,1,3,0,0
insecure,1,1,1,3,0,0
leader,1,1,1,3,0,0
intimate,1,1,1,3,0,0
space,1,1,1,3,0,0
freedom,1,1,1,3,0,0
write,1,1,1,3,0,0
libitina,1,1,1,3,0,0
confused,1,1,1,3,0,0
sacrifice,1,1,1,3,0,0
mature,1,1,1,3,0,0
ink,1,1,1,3,0,0
ashamed,1,1,1,3,0,0
delete,1,1,1,3,0,0
disappear,1,1,1,3,0,0
artist,1,1,1,3,0,0
harp,1,1,1,3,0,0
perfect,1,1,1,3,0,0
dejected,1,1,1,3,0,0
discard,1,1,1,3,0,0
accident,1,1,1,3,0,0
mistake,1,1,1,3,0,0
special,1,1,1,3,0,0
poems,1,1,1,3,0,0
literature,1,1,1,3,0,0
clubs,1,1,1,3,0,0
lecture,1,1,1,3,0,0
president,1,1,1,3,0,0
love,1,1,1,3,0,0
valentine,1,1,1,3,0,0
romance,1,1,1,3,0,0
heart,1,1,1,3,0,0
music,1,1,1,3,0,0
practice,1,1,1,3,0,0
create,1,1,1,3,0,0
wanted,1,1,1,3,0,0
classroom,1,1,1,3,0,0
doki-doki,1,1,1,3,0,0

#Sayori's winning words 
adventure,3,2,1,1,0,0
sweet,3,2,1,1,0,0
excitement,3,2,1,1,0,0
fireworks,3,2,1,1,0,0
childhood,3,2,1,1,0,0
fun,3,2,1,1,0,0
color,3,2,1,1,0,0
friends,3,2,1,1,0,0
family,3,2,1,1,0,0
party,3,2,1,1,0,0
vacation,3,2,1,1,0,0
daydream,3,1,2,1,0,0
holiday,3,2,1,1,0,0
bed,3,2,1,1,0,0
feather,3,2,1,1,0,0
shame,3,1,2,1,0,0
warm,3,2,1,1,0,0
flower,3,2,1,1,0,0
comfort,3,2,1,1,0,0
dance,3,2,1,1,0,0
laugh,3,2,1,1,0,0
sunny,3,2,1,1,0,0
calm,3,1,2,1,0,0
silly,3,2,1,1,0,0
flying,3,2,1,1,0,0
rose,3,1,2,1,0,0
promise,3,2,1,1,0,0
charm,3,2,1,1,0,0
beauty,3,2,1,1,0,0
cheer,3,2,1,1,0,0
smile,3,2,1,1,0,0
precious,3,2,1,1,0,0
clumsy,3,2,1,1,0,0
forgive,3,1,2,1,0,0
nature,3,2,1,1,0,0
ocean,3,2,1,1,0,0
lucky,3,2,1,1,0,0
loud,3,2,1,1,0,0
peaceful,3,1,2,1,0,0
joy,3,1,2,1,0,0
sunset,3,2,1,1,0,0
fireflies,3,2,1,1,0,0
rainbow,3,2,1,1,0,0
play,3,2,1,1,0,0
sparkle,3,2,1,1,0,0
amazing,3,2,1,1,0,0
embrace,3,1,2,1,0,0
extraordinary,3,2,1,1,0,0
awesome,3,2,1,1,0,0
treasure,3,2,1,1,0,0
bliss,3,2,1,1,0,0
memories,3,2,1,1,0,0

#Natsuki's words
cute,2,3,1,1,0,0
fluffy,2,3,1,1,0,0
candy,2,3,1,1,0,0
shopping,2,3,1,1,0,0
puppy,2,3,1,1,0,0
kitty,2,3,1,1,0,0
clouds,2,3,1,1,0,0
lipstick,1,3,2,1,0,0
parfait,2,3,1,1,0,0
strawberry,2,3,1,1,0,0
pink,2,3,1,1,0,0
chocolate,2,3,1,1,0,0
heartbeat,1,3,2,1,0,0
kiss,1,3,2,1,0,0
melody,2,3,1,1,0,0
ribbon,2,3,1,1,0,0
jumpy,2,3,1,1,0,0
kawaii,2,3,1,1,0,0
skirt,2,3,1,1,0,0
cheeks,2,3,1,1,0,0
email,2,3,1,1,0,0
sticky,2,3,1,1,0,0
bouncy,2,3,1,1,0,0
shiny,2,3,1,1,0,0
nibble,2,3,1,1,0,0
fantasy,1,3,2,1,0,0
sugar,2,3,1,1,0,0
giggle,2,3,1,1,0,0
marshmallow,2,3,1,1,0,0
hop,2,3,1,1,0,0
skipping,2,3,1,1,0,0
peace,2,3,1,1,0,0
spinning,2,3,1,1,0,0
twirl,2,3,1,1,0,0
lollipop,2,3,1,1,0,0
poof,2,3,1,1,0,0
bubbles,2,3,1,1,0,0
whisper,2,3,1,1,0,0
summer,2,3,1,1,0,0
waterfall,1,3,2,1,0,0
swimsuit,2,3,1,1,0,0
vanilla,2,3,1,1,0,0
headphones,2,3,1,1,0,0
games,2,3,1,1,0,0
socks,2,3,1,1,0,0
hair,2,3,1,1,0,0
playground,2,3,1,1,0,0
nightgown,1,3,2,1,0,0
blanket,1,3,2,1,0,0
milk,2,3,1,1,0,0
pout,2,3,1,1,0,0
anger,2,3,1,1,0,0
papa,2,3,1,1,0,0
mouse,1,3,2,1,0,0
whistle,2,3,1,1,0,0
boop,2,3,1,1,0,0
bunny,2,3,1,1,0,0
anime,2,3,1,1,0,0
jump,2,3,1,1,0,0

#Yuri's words
determination,1,1,3,1,0,0
suicide,2,1,3,1,0,0
imagination,2,1,3,1,0,0
secretive,2,1,3,1,0,0
vitality,1,1,3,1,0,0
existence,2,1,3,1,0,0
effulgent,1,1,3,1,0,0
crimson,1,1,3,1,0,0
whirlwind,1,1,3,1,0,0
afterimage,1,1,3,1,0,0
vertigo,1,1,3,1,0,0
disoriented,1,1,3,1,0,0
essence,2,1,3,1,0,0
ambient,2,1,3,1,0,0
starscape,2,1,3,1,0,0
disarray,1,1,3,1,0,0
contamination,1,1,3,1,0,0
intellectual,1,1,3,1,0,0
entropy,1,1,3,1,0,0
vivacious,1,1,3,1,0,0
uncanny,2,1,3,1,0,0
incongruent,1,1,3,1,0,0
wrath,2,1,3,1,0,0
heavensent,2,1,3,1,0,0
massacre,2,1,3,1,0,0
philosophy,1,1,3,1,0,0
fickle,1,1,3,1,0,0
tenacious,1,1,3,1,0,0
aura,2,1,3,1,0,0
unstable,1,1,3,1,0,0
inferno,2,1,3,1,0,0
incapable,2,1,3,1,0,0
infallible,1,1,3,1,0,0
agonizing,2,1,3,1,0,0
variance,1,1,3,1,0,0
uncontrollable,2,1,3,1,0,0
extreme,1,1,3,1,0,0
flee,2,1,3,1,0,0
disaster,2,1,3,1,0,0
vivid,2,1,3,1,0,0
vibrant,1,2,3,1,0,0
fester,2,1,3,1,0,0
judgment,1,1,3,1,0,0
cage,1,2,3,1,0,0
explode,1,2,3,1,0,0
pleasure,1,2,3,1,0,0
lust,1,2,3,1,0,0
sensation,1,2,3,1,0,0
climax,1,2,3,1,0,0
electricity,1,2,3,1,0,0
despise,2,1,3,1,0,0
infinite,2,1,3,1,0,0
time,2,1,3,1,0,0
universe,2,1,3,1,0,0
covet,1,1,3,1,0,0
unrestrained,1,1,3,1,0,0
landscape,2,1,3,1,0,0
portrait,2,1,3,1,0,0
journey,2,1,3,1,0,0
meager,1,1,3,1,0,0
frightening,2,1,3,1,0,0
horror,2,1,3,1,0,0
insight,2,1,3,1,0,0
atone,2,1,3,1,0,0
breathe,1,2,3,1,0,0
captive,2,1,3,1,0,0
desire,1,2,3,1,0,0
graveyard,2,1,3,1,0,0
